name,longitude,latitude
SPX Express Seller sampai7an,106.683834,-6.082697
SPX Express Seller CBD Official Shop,106.732081,-6.196537
SPX Express Seller AN_collection028,106.767144,-6.221542
SPX Express Seller JINISO Official Shop,106.735824,-6.121434
SPX Express Seller Sweet home88,106.750009,-6.130874
SPX Express Seller lisalautner665,106.776468,-6.156512
SPX Express Seller Blossom Kids Official Store,112.758733,-7.392612
SPX Express Seller Azarine Cosmetic Official Shop,112.730246,-7.39501
SPX Express Seller Makarizo Official Shop,106.9098,-6.19029
SPX Express Seller Venus Acessories,106.684634,-6.201333
SPX Express Seller grosirtas.co.id,106.714852,-6.176327
SPX Express Seller Dyannabagz,106.868226,-6.376013
SPX Express Seller Gab Babyshop,106.881355,-6.384587
SPX Express Seller sunlystore,112.742181,-7.460464
SPX Express Seller Imboost Official Shop,106.917725,-6.192665
SPX Express Seller Octarine Official Shop,106.779684,-6.623291
SPX Express Seller benuadunia,106.785219,-6.640131
SPX Express Seller Cilupbah Case Official Shop,106.685676,-6.102178
Destination Trucking 50,106.853238,-6.226559
Destination Trucking 49,106.853238,-6.226559
Destination Trucking 48,106.853238,-6.226559
Destination Trucking 47,106.853238,-6.226559
Destination Trucking 46,106.853238,-6.226559
Destination Trucking 45,106.853238,-6.226559
Destination Trucking 44,106.853238,-6.226559
Destination Trucking 43,106.853238,-6.226559
Destination Trucking 42,106.853238,-6.226559
Destination Trucking 41,106.853238,-6.226559
Destination Trucking 40,106.853238,-6.226559
Destination Trucking 39,106.853238,-6.226559
Destination Trucking 38,106.853238,-6.226559
Destination Trucking 37,106.853238,-6.226559
Destination Trucking 36,106.853238,-6.226559
Destination Trucking 35,106.853238,-6.226559
Destination Trucking 34,106.853238,-6.226559
Destination Trucking 33,106.853238,-6.226559
Destination Trucking 32,106.853238,-6.226559
Destination Trucking 31,106.853238,-6.226559
Destination Trucking 30,106.853238,-6.226559
Destination Trucking 29,106.853238,-6.226559
Destination Trucking 28,106.853238,-6.226559
Destination Trucking 27,106.853238,-6.226559
Destination Trucking 26,106.853238,-6.226559
Destination Trucking 25,106.853238,-6.226559
Destination Trucking 24,106.853238,-6.226559
Destination Trucking 23,106.853238,-6.226559
Destination Trucking 22,106.853238,-6.226559
Destination Trucking 21,106.853238,-6.226559
Destination Trucking 20,106.853238,-6.226559
Destination Trucking 19,106.853238,-6.226559
Destination Trucking 18,106.853238,-6.226559
Destination Trucking 17,106.853238,-6.226559
Destination Trucking 16,106.853238,-6.226559
Destination Trucking 15,106.853238,-6.226559
Destination Trucking 14,106.853238,-6.226559
Destination Trucking 13,106.853238,-6.226559
Destination Trucking 12,106.853238,-6.226559
Destination Trucking 11,106.853238,-6.226559
Destination Trucking 10,106.853238,-6.226559
Destination Trucking 9,106.853238,-6.226559
PT BRILLIANT TC - Cipondoh,106.853238,-6.226559
Terrypalmerid - Seminyak,115.169476,-8.688588
Satoria Pharma - MMM Semarang,110.434654,-6.968622
CV Soebi - Lembang,107.648532,-6.794895
Dummy Trucking - Depok,106.859335,-6.35798
